Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
MEGALABS,7730969303258,ANTIHIPERTENSIVO,LOSARTAN 100 MG,CONVERTAL 100 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969303258
MEGALABS,7730969303425,ANTIDEPRESIVO,ESCITALOPRAM 10 MG,EZENTIUS 10 MG CAJA X 30 COMPRIMIDOS,7730969303425
MEGALABS,7730969303708,ANTIHIPERTENSIVO,LOSARTAN 100 MG HIDROCLOROTIAZIDA 25 MG,CONVERTAL D 100 /25 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969303708
MEGALABS,7730969303722,ANTIBIOTICO DE AMPLIO ESPECTRO,CIPROFLOXACINA 500 MG,CIRIAX 500 MG CAJA X 10 COMPRIMIDOS RECUBIERTOS,7730969303722
MEGALABS,7730969303883,PROCINETICO,CINITAPRIDA 1 GR,ENDIAL 1 MG CAJA X 20 COMPRIMIDOS,7730969303883
MEGALABS,7730969304064,ANTIINFLAMATORIO,MELOXICAM 15 MG,NEFIRAN NF 15 MG CAJA X 10 COMPRIMIDOS,7730969304064
MEGALABS,7730969305399,ANTIESPASMODICO ANALGESICO,CLONIXINATO DE LISINA,VIADIL COMPUESTO CAJA X 3 AMPOLLA,7730969305399
MEGALABS,7730969306181,ANALGESICO ANTIINFLAMATORIO,ETORICOXIB 90 MG,DAVINTEX 90 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969306181
MEGALABS,7730969306204,ANALGESICO ANTIINFLAMATORIO,ETORICOXIB 120 MG,DAVINTEX 120 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969306204
MEGALABS,7730969307010,PROTECTOR GASTRICO,DEXLANZOPRAZOL 30 MG,DEXLANZOPRAL DR 30 MG CAJA X 30 CAPSULAS,7730969307010
MEGALABS,7730969307232,INMUNOMODULADOR SISTEMICO,BIFIDOBACTERIUM LACTIS LONGUM LACTOBACILLUS,DAEHA POLVO CAJA POR 30 SACHETS,7730969307232
MEGALABS,7730969307621,ANTIDIABETICO,SITAGLIPTINA 100 MG,ODASEN 100 MG CAJA X 30 COMPRIMIDOS,7730969307621
MEGALABS,7730969307652,HIPOGLICEMIANTE,METFORMINA SITAGLIPTINA,ONDASEN PLUS 1000 CAJA X 30 COMPRIMIDOS,7730969307652
MEGALABS,7730969308703,ANTIDIABETICO,DAPAGLIFOZINA 5 MG,DAPAGLICIN 5 MG CAJA X 30 COMPRIMIDOS,7730969308703
TECNOFARMA,7730979090629,ANTIPROLACTINA,ABERGOLINA 0.5 MG,CABERTRIX 0.50 MG FCO X 4 COMPRIMIDOS,7730979090629
TECNOFARMA,7730979090773,ANTIINFLAMATORIO ANTIREUMATICO,GLUCOSAMINA SULFATO MELOXICAM,DOLO CURAFLEX CAJA X 30 SOBRES,7730979090773
TECNOFARMA,7730979093606,GASTROCINETICO,MOSAPRIDA CITRATO 5 MG,REFLUCIL 5 MG CAJA X 30 COMPRIMIDOS,7730979093606
TECNOFARMA,7730979094061,"NEUROPROTECTOR, ANTIESPASTICO.",MEMANTINA CLORHIDRATO,EUTEBROL 20 MG CAJA X 30 COMPRIMIDOS,7730979094061
TECNOFARMA,7730979094368,RELAJANTE MUSCULAR,MELOXICAM PIRIDINOL,SUPRACAM FLEX CAJA X 20 COMPRIMIDOS,7730979094368
TECNOFARMA,7730979094382,TRATAMIENTO PARA VEJIGA HIPERACTIVA INCONTINENCIA,OXIBUTININA CLORHIDRATO 10 MG,RETEVEN CR CAJA X 20 COMPRIMIDOS,7730979094382
TECNOFARMA,7730979095419,ANTIINFLAMATORIO ANALGESICO,DICLOFENACO 150 MG,LERTUS RL 150 MG CAJA X 20 COPRIMIDOS,7730979095419
TECNOFARMA,7730979096027,TRATAMIENTO PARA EZQUIZOFRENIA Y TRASTORNO BIPOLAR,QUETIAPINA 100 MG,QUETIAZIC 100 MG CAJA X 30 COMPRIMIDOS,7730979096027
TECNOFARMA,7730979097703,ANALGESICO DESINFLAMANTE,ETORICOXIB 120 MG,XUMER 120 MG CAJA X 7 COMPRIMIDOS,7730979097703
TECNOFARMA,7730979098069,VITAMINICO,VITAMINA D3 100000 UI,DEBLAX 100.000 UL CAJA X 1 CAPSULA,7730979098069
TECNOFARMA,7730979098076,DEFICIT DE VITAMINA D,VIT D,DEBLAX 100.000 UI CAJA X 2 CAPSULAS,7730979098076
SERGON,7730979098939,HIPOGLICEMIANTE,VILDAGLIPTINA METFORMINA,VILZERMET 50/1000 MG CAJA X 60 COMPRIMIDOS,7730979098939
COSSIN,7730986380706,CN PREMORENAL DULCE DE LECHE POTE X 400 GR,CN PREMORENAL DULCE DE LECHE POTE X 400 GR,CN PREMORENAL DULCE DE LECHE POTE X 400 GR,7730986380706
J A GRAMON PORTUGAL,7750215001103,HUMECTA Y NUTRE LA PIEL,CONCHA DE NACAR,CREMA PORTUGAL CONCHA DE NACAR EN SACHET CAJA X 20 UNIDADES,7750215001103
J A GRAMON PORTUGAL,7750215001547,ANTIINFLAMATORIO,BETAMETASONA,BETAPLUS 0.05% CREMA TUBO X 20 G,7750215001547
J A GRAMON PORTUGAL,7750215001905,PRODUCTOS TOPICO INFECCIONES VIRALES,ACICLOVIR,ACICLOVIR 5 % CREMA TBO X 5 GR,7750215001905
J A GRAMON PORTUGAL,7750215012451,FACILITA LA EXPECTORACIÓN Y ALIVIA LA TOS,EXTRACTO DE HEDERA HELIX,ABRIMED 35MG/5ML HEDERA HELIX FRASCO X 120 ML,7750215012451
J A GRAMON PORTUGAL,7750215024904,PROTECCION,BLOQUEADOR SOLAR BEBE,BAHIA BLOQUEADOR SOLAR BEBE SPF 50 CAJA X 20 SACHET,7750215024904
MEGALABS,7750215025079,ANTIACIDO DIGESTIVO,SUBSALICILATO DE BISMUTO 262.5 MG,BISMUTIP SUSPENCION FCO X 150 ML,7750215025079
MEGALABS,7750215025086,ANTIACIDO,SUBSALICILATO DE BISMUTO 262.5 MG,BISMUTIP CAJA X 100 COMPRIMIDOS MASTICABLES,7750215025086
MEGALABS,7750215025932,ANTIINFLAMATORIO,SALICILATO DE METILO 27 % MENTOL 10 %,FLOGIATRIN POMADA POTE X 100 G,7750215025932
MEGALABS,7750215026809,CORTICOIDE,DEXAMETASONA 4 MG,MEGADEX 4 MG CAJA X 10 TABLETAS,7750215026809
J A GRAMON,77502150281224,HIDRANTANTE LABIAL,MANTEQUILLA DE CACAO,LIPSTICK DE FRUTAS TIRA X 8 UNIDADES,77502150281224
MEGALABS,7750215029848,ANTIINFLAMATORIO,INDOMETACINA 1 %,FLOGIATRIN 1% SPRAY X 50 ML,7750215029848
MEGALABS,7750215029985,ANTIGRIPAL,PARACETAMOL 500 MG FENILEFRINA 10 MG CLORFENIRAMINA 4 MG,DI NEUMOBRON ANTIGRIPAL CAJA X 100 TABLETAS,7750215029985
J A GRAMON PORTUGAL,7750215432969,ANTIBIOTICO,TETRACICLINA 500 MG,TETRACICLINA 500 MG CAJA X 100 CAPSULAS,7750215432969
J A GRAMON PORTUGAL,7750215728321,VITAMINAS DEL COMPLEJO B,COMPLEJO B,COMPLEJO B JARABE X 120 ML,7750215728321
QUIMIZA,7750218010256,ANTIINFLAMATORIOS TÓPICOS,BETAMETAZONA,BETAQUILAB 0.05% CREMA TOPICA X 20 GR,7750218010256
QUIMIZA,7750218010553,TRATAMIENTO PARA ALOPECIA,MINOXIDIL 5 %,MINORAX 5% SOLUCION TOPICA X 60 ML,7750218010553
RECALCINE,7750304004671,ANTIMICOTICO,BUTOCONAZOL 0.2%,VOLUSOL 2% CREMA VAGINAL TBO X 15 GR,7750304004671
RECALCINE,7750304006347,SUPLEMNTO VITAMINICO,CITRTO DE CALCIO COLECALCIFEROL,FEMIGEN FORTE FCO X 60 TABLETAS,7750304006347
RECALCINE,7750304007764,ANTIBIOTICO,COTRIMOXAZOL 800 MG,BACTEROL FORTE CAJA X 100 COMPRIMIDOS,7750304007764
TECNOFARMA,7751198000169,VASODILATADOR,NIMODIPINO 30 MG CITICOLINA 100 MG,IRRIGOR PLUS 30 MG CAJA X 30 COMPRIMIDOS,7751198000169
QUIMIZA,7751257021814,LIMPIEZA,TOALLAS HUMEDAS,TOALLA HUMEDA CLASICA NINET X 60 UNID,7751257021814
QUIMIZA,7751257022156,LIMPIEZA,TOALLA HUMEDA,TOALLITAS HUMEDAS NINET CLASICAS C/TAPER X 100 UNID,7751257022156
OM PHARMA,7751384000096,ANTIFLATULENTO,SIMETICONA,AERO OM FORTE CAJA X 20 COMPRIMIDOS,7751384000096
QUIMIZA,7751384129780,ANTIFLATULENTO,SIMETICONA,AERO OM GOTAS FCO X 15 ML,7751384129780
SEDIM,7751493010139,HIGIENE,"PAÑAL UNISEX ROJO MEGA ""G/3"" X 66 UNID.","PAÑAL UNISEX ROJO MEGA ""G/3"" X 66 UNID.",7751493010139
SEDIM,7751493011112,PAÑAL ADULTO,ALGODON FIBRA GEL ABSORVENTE,PAÑAL PLENUTID ADULTO PROTECT NOCTURNO M X 8 UNID,7751493011112
SEDIM,7751493011129,PAÑAL ADULTO,ALGODON FIBRA GEL ABSORVENTE,PAÑAL PLENITUD ADULTO PROTECT NOCTURNO G/XG X 8 UNID,7751493011129
SEDIM,7751493011181,HIGIENE DEL BEBE,PAÑAL HUGGIES ACTIVE SEC G BIG DIA 2 X 74,PAÑAL HUGGIES ACTIVE SEC G 2 X 74,7751493011181
SEDIM,7751493011198,HIGIENE,PAÑAL HUGGIES ACTIVE SEC,PAÑAL HUGGIES ACTIVE SEC XG 2 X 74,7751493011198
PROMEDICAL HERSIL,7757310008075,ANTIHISTAMÍNICOS,CLORFENAMINA,ALERGICAL JARABE FRASCO X 120 ML,7757310008075
PROMEDICAL HERSIL,7757310008099,ANTIPIRÉTICO,CLORFENAMINA,ALERGICAL 4 MG CAJA X 50 TABLETAS,7757310008099
PROMEDICAL HERSIL,7757310008402,ANTIHISTAMÍNICO Y DESCONGESTIONANTE NASAL,CLORFENIRAMINA; PSEUDOEFEDRINA,ALERGICAL SF SOLUCION FCO X 110 ML,7757310008402
LATIN MED,7759307288309,"DOLORES TRAUMÁTICOS, CALAMBRES Y TORCEDURAS",SALICILATO DE METILO- MENTOL,BENGAY GEL TUBO X 28 G,7759307288309
DR MEDINAT,7770023455868,ANTIPIOJOS,SHAMPOO ANTI PIOJOS MY BELLE MAX PLUS 7,SHAMPOO ANTI PIOJOS MY BELLE MAX PLUS 7 X 150 ML,7770023455868
INTI BNS,7770101000089,"TÓNICO BIOLÓGICO, UTILIZADO PARA MEJORAR EL ESTADO GENERAL Y COMBATIR LA FATIGA","CIANOCOBALAMINA (VITAMINA B12); FOSFATO DE SODIO MONOBÁSICO; LEVADURA, EXTRACTO",AKTIVANAD ADULTOS JARABE X 200 ML,7770101000089
INTI BNS,7770101000393,ALIVIO DEL ESTREÑIMIENTO EN NIÑOS,GLICERINA,BEBELAX ENEMA INFANTIL X 4 ML,7770101000393
INTI OTC,7770101000416,LIMPIEZA,BICARBONATO,BICARBONATO DE SODA SOBRE X 20 G X 50 SOBRES,7770101000416
INTI PHARMANDINA,7770101000522,SUPLEMENTO DE VITAMINAS DEL GRUPO B,VITAMINAS DEL GRUPO B,B VIMIN 300 MG CAJA X 20 TAB.,7770101000522
INTI VIMIN,7770101000782,ANTINEURITICO,OMPLEJO B 12,COBA VIMIN COMPUESTO 25.000 CAJA X 25 AMPOLLAS,7770101000782
INTI VIMIN,7770101000805,ANTINEURITICO,COMPLEJO B,COMPLEJO B VIMIN CAJA X 25 AMPOLLAS,7770101000805
INTI,7770101000980,ANESTESICO ANTIINFLAMATORIO,LIDOCAINA MANZANILLA,DENTINOX GEL N TUBO X 10 G,7770101000980
INTI OTC,7770101001086,LIMPIEZA,DG6,DG 6 SOLUCION FCO X 60 ML.,7770101001086
MEGALABS,7770101001154,ANALGESICO ANTIPIRETICO EXPECTORANTE,PARACETAMOL 150 MG GUAFENESINA 20 MG,DI NEUMOBRON INFANTIL CAJA X 100 SUPOSITORIOS,7770101001154
MEGALABS,7770101001161,ANALGESICO ANTIPIRETICO EXPECTORANTE,PARACETAMOL 2 MG CLORFENIRAMINA 0.05 MG,DI NEUMOBRON SOLUCION PEDIATRICA FCO X 100 ML,7770101001161
INTI VIMIN,7770101001871,ANTIOXIDANTE,VITAMINA E 1000 MG,E VIMIN 1000 UI CAJA X 30 CAPSULAS,7770101001871
INTI BRAUN,7770101001901,HIDRATANTE,SOLUCION SALINA,SUERO FISIOLOGICO X 500 ML BRAUN,7770101001901
INTI P&G,7770101002229,DESCONGESTIONANTE,SOLUCION SALINA,ILIADIN ADULTOS 0.05 SOL. NASAL SPRAY X15 ML,7770101002229
INTI ETICOS,7770101002571,ANTIALERGICO,DIFENHIDRAMINA,LIDRAMINA POMADA TUBO X 15 G,7770101002571
INTI OTC,7770101002663,ANTITUSIVO,EUCALIPTOL GOMENOL,MENTISAN PASTILLAS MENTA X 20 UNID,7770101002663
INTI BNS,7770101002939,ANTINEURITICO,COMPLEJO B1 B6 B12,NEUROTRAT FORTE CAJA X 20 GRAGEAS,7770101002939
INTI ETICOS,7770101003592,HIPNOTICO,ZOPICLONA 7.5 MG,SOMNICLONA 7.5 MG CAJA X 10 COMPRIMIDOS,7770101003592
INTI OTC,7770101003714,MI¡ULTIVITAMINICO,VITAMINAS MINERALES,TONICO INTI JARABE X 200 ML,7770101003714
INTI VIMIN,7770101003837,AYUDA AL DESARROLLO CEREBRAL,VITAMINA B 6,VIMIN B6 FUERTE 300 MG CAJA X 20 TABLETAS,7770101003837
INTI ETICOS,7770101004193,EXPECTORANTE,AMBROXOL 30 MG,INTIBROXOL 30 MG CAJA X 20 COMPRIMIDOS,7770101004193
INTI ETICOS,7770101004209,EXPECTORANTE,AMBROXOL,INTIBROXOL 30 MG JARABE FCO X 100 ML,7770101004209
INTI ETICOS,7770101004377,ANTIPASASITARIO,NITAZOXANIDA 500 MG,NOXOM 500 MG CAJA X 6 TABLETAS,7770101004377
INTI OTC,7770101004445,FRICCION,MENTOL EUCALIPTOL GOMENOL,MENTISAN UNGUENTO POTE X 60 GR,7770101004445
INTI VIMIN,7770101004605,VITAMINAS,ACIDO FOLICO VITAMINA C,CARDIO VIMIN CAJA X 30 TABLETAS,7770101004605
INTI MERCK,7770101004650,HIPOGLICEMIANTE,METFORMINA,GLUCOPHAGE 850 MG CAJA X 30 COMPRIMIDOS,7770101004650
INTI MERCK,7770101004674,HIPOGLICEMIANTE,METFORMINA 500 MG GLIBENCLAMIDA 5 MG,GLUCOVANCE 500/5 CAJA X 30 COMPRIMIDOS,7770101004674
INTI ETICOS,7770101004858,DISFUNCION ERECTIL,SILDENAFIL 50 MG,PASUMA NF 50 MG CAJA X 10 TABLETAS,7770101004858
INTI ETICOS,7770101004872,ANTIVIRAL,ACICLOVIR 800 MG,VIRUSAN 800 MG CAJA X 10 COMPRIMIDOS,7770101004872
INTI ETICOS,7770101005008,ANTIESPASMODICO,CLONIXINATO DE LISINA,ESPASMO VERAMIDON CAJA X 10 COMPRIMIDOS,7770101005008
INTI OTC,7770101005107,ANTIPLAQUETARIO-ANALGESICO,ACIDO ACETIL SALICILICO 100 mg,ACIDO ACETIL SALICILICO CAJA X 240 TABLETAS,7770101005107
INTI PHARMANDINA,7770101005145,ANTINEURITICO,COMPLEJO B,COMPLEJO B CAJA X 240 TABLETAS,7770101005145
INTI VIMIN,7770101005206,VITAMINAS,VITAMINA A,A VIMIN 10.000 UI CAJA X 20 TABLETAS,7770101005206
INTI OTC,7770101005220,ANTITUSIVO,EUCALIPTOL GOMENOL,MENTISAN PASTILLAS TUTI FRUTI X 20 UNID,7770101005220
INTI OTC,7770101005237,ANTITUSIVO,EUCALIPTOL GOMENOL,MENTISAN PASTILLAS CANELA 20 UNID,7770101005237
INTI ETICOS,7770101005398,ANALGESICO OPIOIDE,TRAMADOL CLORHIDRATO 50 mg/1 mL,ALGIFENO 50 MG GOTAS FCO X 20 ML,7770101005398
INTI BNS,7770101005527,ANTICOAGULANTE,HEPARINA SODICA,TROMBOGEL TUBO X 20 G,7770101005527
INTI ETICOS,7770101005688,ANTITUSIVO,CODEINA PSEUDOEFEDRINA,PANTUSIL JARABE FCO X 100 ML,7770101005688
INTI ETICOS,7770101005701,HIPOLIPEMIANTE,ATORVASTATINA 10 MG,TORNIX 10 MG CAJA X 30 COMPRIMIDOS,7770101005701
INTI VIMIN,7770101005824,ANTINEURITICO ANALSEGICO,DICLOFENACO COMPLEJO B,DOLO COBA VIMIN COMPUESTO CAJA X 2 AMPOLLAS,7770101005824
INTI ETICOS,7770101005954,ANALGESICO,KETOROLACO 20 MG,QUETOROL 20 MG CAJA X 100 COMPRIMIDOS,7770101005954
INTI ETICOS,7770101005992,DISFUNCION ERECTIL,TADALAFILO 20 MG,PASUMA 3D SL CAJA X 2 COMPRIMIDOS,7770101005992
INTI ETICOS,7770101006340,"ANTIACIDO, ANTIFLATULENTO","MAGALDRATO, SIMETICONA",ALUMAG CAJA X 16 COMPRIMIDOS MASTICABLE,7770101006340
INTI,7770101006395,HIDRATANTE,SUERO VITAMINADO,NEO B SOLUCION VITAMINADA X 500 ML,7770101006395
INTI,7770101006401,RECOSTITUYENTE,SUERO VITAMINADO,NEO B SOLUCION VITAMINADA X 1000 ML,7770101006401
INTI PHARMANDINA,7770101006418,ANTINEURITICO,OMPLEJO B,COMPLEJO B CAJA X 100 AMPOLLAS,7770101006418
INTI ETICOS,7770101006517,ANALGÉSICO,PARACETAMOL (ACETAMINOFÉN); TRAMADOL,ALGIFENO COMPUESTO CAJA X 30 COMPRIMIDOS,7770101006517
INTI ETICOS,7770101006524,ANALGESICO,TRAMADOL,ALGIFENO 50 MG CAJA X 30 COMPRIMIDOS,7770101006524
INTI ETICOS,7770101006630,ANALGÉSICO,CODEÍNA; PARACETAMOL (ACETAMINOFÉN),ALTODOR NF CAJA X 10 COMPRIMIDOS,7770101006630
INTI ETICOS,7770101006678,ANTIBIOTICO DE AMPLIO ESPECTRO,AMOXICILINA ACIDO CLAVULANICO,PENTRAX AC CAJA X 14 COMPRIMIDOS,7770101006678
INTI ETICOS,7770101006807,FLORESTOR SOBRES C,FLORESTOR SOBRES C,FLORESTOR SOBRES CAJA X 10,7770101006807
INTI BRAUN,7770101006937,DILUYENTE,SUERO FISIOLOGICO,SUERO FISIOLOGICO X 250 ML BRAUN,7770101006937
INTI ETICOS,7770101006982,DISFUNCION ERECTIL,SILDENAFIL 50 MG,PASUMA NF SL 50 MG CAJA X 10 COMPRIMIDOS,7770101006982
INTI ETICOS,7770101006999,DISFUNCION ERECTIL,SILDENAFIL 100 MG,PASUMA NF SL 100 MG CAJA X 10 TABLETAS,7770101006999
INTI OTC,7770101007002,FRICCION,MENTOL EUCALIPTOL GOMENOL,MENTISAN UNGUENTO POTE X 20 GR,7770101007002
MEGALABS,7770101007125,ANALGESICO ANTINEURITICO,"PIROXICAM 20 MG PIRIDOXINA CLORHIDRATO 150 MG HIDROXICOBALAMINA 2,5 MG",FLOGIATRIN B12 NF CAJA X 100 COMPRIMIDOS,7770101007125
INTI VIMIN,7770101007255,MULTIVITAMINAS,VITAMINA A C Y D,ACD VIMIN GOTAS FCO X 30 ML,7770101007255
INTI ETICOS,7770101007316,MUCOLITICO BRONCODILATADOR,ACETIL CISTEINA 600 MG,MUXATIL 600 MG SOBRE CAJA X 10,7770101007316
INTI OTC,7770101007408,VITAMINA,VITAMINA C 2000,C VIMIN 2000 CAJA X 60 SOBRES NARANJA,7770101007408
INTI VIMIN,7770101007422,VITAMINA,VITAMINA C 1000,C VIMIN 1000 CAJA X 60 SOBRES TORONJA,7770101007422
INTI DACRI,7770101007552,DESCONGESTIONANTE OCULAR,CLORHIDRATO DE TRETAHIDRAZOLINA,DACRI BLANC COLIRIO X 10 ML,7770101007552
INTI PHARMANDINA,7770101007606,VEHICULO PARA ADMINISTRACION DE FARMACOS,AGUA ESTERIL PARA INYECCION 10 mL,AGUA DESTILADA 10 ML CAJA X 50 AMPOLLAS,7770101007606
INTI PHARMANDINA,7770101007637,VEHICULO PARA ADMINISTRACION DE FARMACOS,AGUA ESTERIL PARA INYECCION 5 mL,AGUA DESTILADA 5 ML CAJA X 50 AMPOLLAS,7770101007637
INTI ETICOS,7770101007750,LAXANTE,POLIETILENGLICOL BICARBONATO DE SODIO,LAXUAVE P CAJA X 10 SOBRES,7770101007750
INTI ETICOS,7770101007774,REHIDRATANTE,Cloruro de sodio 0.65gr-cloruro de potasio 0.374gr-dextrosa anhidra 3.30gr,DEHIDROLIT 75 MG CAJA X 10 SOBRES,7770101007774
INTI ETICOS,7770101007910,ANTIPIRETICO,PARACETAMOL 120 MG,PAIBUX GOTAS X 20 ML,7770101007910
INTI BNS,7770101007927,TÓNICO Y HEMATÍNICO PARA EL NIÑO HIPOACTIVO,"CIANOCOBALAMINA (VITAMINA B12); HIERRO; LEVADURA, EXTRACTO",AKTIVANAD INFANTIL JARABE X 200 ML,7770101007927
INTI BNS,7770101007965,MULTIVITAMINICO,VITAMINAS LIPOSOLUBLES,OMNIVAL JARABE FCO X 200 ML,7770101007965
INTI VIMIN,7770101007989,MULTIVITAMINICO,VITAMINAS Y MINERALES,PAN VIMIN MINERALIZADO JARABE X 200 ML,7770101007989
INTI ETICOS,7770101008030,PROTECTOR GASTRICO,OMEPRAZOL 20 MG,OME GASTRIN CAJA X 30 CAPSULAS,7770101008030
INTI VIMIN,7770101008115,SUPLEMENTO,VITAMINA C ZINC,C VIMIN ZINC POLVO X 60 SOBRES,7770101008115
INTI ETICOS,7770101008184,DESCONGESTIONANTE,SOLUCION SALINA 0.9 %,RINOFRIN SOL NASAL SPRAY FCO X 20 ML,7770101008184
INTI ETICOS,7770101008511,TX DE INFECCIONES BACTERIANAS,AZITROMICINA,BATROM 500 MG CAJA X 6 COMPRIMIDOS,7770101008511
INTI ETICOS,7770101008962,ANTIINFLAMATORIO ANALGESICO,IBUPROFENO 600,MEBIDOX 600 MG CAJA X 30 CAPSULAS,7770101008962
INTI DACRI,7770101009112,ANTIGLAUCOMATOSO,DORZOLAMIDA 2%,DACRI DORZOL SOL. OFTALMICA X 5 ML,7770101009112
INTI DACRI,7770101009129,"EDEMA CORNEAL, ELIMINA EXCESO DE LIQUIDPO MEJORANDO LA VISION",CLORURO DE SODIO AL 5%,DACRI SOL SOLUCION OFTALMICA X 5 ML,7770101009129
INTI VIMIN,7770101009334,SUPLEMENTO,VITAMINA C ZINC VITAMINA D,C VIMIN ZINC + D3 CAJA X 60 SOBRES,7770101009334
INTI ETICOS,7770101009419,ANALASICO,TRAMADOL,ALGIFENO 100 MG GOTAS FRASCO X 15 ML,7770101009419
INTI ETICOS,7770101009464,ANALGESICO,TRAMADOL,ALGIFENO 100 MG CAJA X 5 AMPOLLAS,7770101009464
INTI ETICOS,7770101009532,HIDRATANTE,AVENA ORGANICA CERAMIDAS,DERMOCREM HIDRA LOCION TBO X 200 ML,7770101009532
INTI ETICOS,7770101009556,ANALGESICO,MELOXICAM 15 GR,MELIUS 15 MG CAJA X 20 TABLETAS,7770101009556
INTI PHARMANDINA,7770101009785,"ANTIINFLAMATORIA, INMUNOSUPRESORA",BETAMETASONA,BETAMETASONA 8 MG/2 ML CAJA X 25 AMPOLLAS,7770101009785
INTI ETICOS,7770101009815,ANTIBIOTICO,CEFIXIMA,AMPLIBIOTIC 400 MG CAJA X 8 CAPSULAS,7770101009815
BAGO,7770102000002,ANTIBACTERIANO,COTRIMOXAZOL 400 MG,BACTICEL FORTE CAJA X 10 COMPRIMIDOS,7770102000002
BAGO,7770102000026,ANTIBACTERIANO,COTRIMOXAZOL 800 MG,BACTICEL FORTE SUSPENCION FCO X 100 ML,7770102000026
BAGO,7770102000033,BACTERICIDA,TRIMETROPIM- SULFAMETOXAZOL,BACTICEL SUSPENCION FCO X 100 ML,7770102000033
BAGO,7770102000330,ANTIHISTAMINICO,LEVOCETIRIZINA 2.5 MG,DEGRALER 2.5 MG JARABE FCO X 100 ML,7770102000330
BAGO,7770102000361,ANTIMICOTICO,MICONAZOL TINIDAZOL,DOXIFEN CAJA X 10 OVULO VAGINALES,7770102000361
BAGO,7770102000507,ANTIPIRETICO,METAMIZOL 500 MG,DIOXADOL 500 MG JARABE FCO X 50 ML,7770102000507
BAGO,7770102000590,ANTIPIRETICO,METAMIZOL 500 MG,DIOXADOL G GOTAS FCO X 20 ML,7770102000590
BAGO,7770102000705,DESCONGESTIONANTE NASAL,PSEUDOEFEDRINA CLORFENIRAMINA,NASTIZOL CAJA X 100 COMPRIMIDOS,7770102000705
BAGO,7770102000897,ANTIBIOTICO,AZITROMICINA 500 MG,ETIMICINA 500 MG CAJA X 5 COMPRIMIDOS,7770102000897
BAGO,7770102000927,ANTIALERGICO,CETIRIZINA,REMITEX 10 MG COMPRIMIDOS CAJA X 10,7770102000927
BAGO,7770102000934,ANTIPIRETICO,DIPIRONA 500 MG,DIOXADOL 500 MG CAJA X 500 COMPRIMIDOS,7770102000934
BAGO,7770102001047,ANTIINFLAMATORIO ANALGESICO,DICLOFENACO 75 MG,CLOFENAC 75 MG CAJA X 20 AMPOLLAS,7770102001047
BAGO,7770102001061,ANTITUSIVO DESCONGESTIONANTE,CLORFENIRAMINA PSEUDOEFEDRINA CODEINA,TUSIGEN ADULTO JARABE FCO X 100 ML,7770102001061
BAGO,7770102001245,ANALGESICO,KETOROLACO 20 MG,DONODOL 20 MG CAJA X 10 COMPRIMIDOS,7770102001245
BAGO,7770102001283,ANTIBIOTICO,PENICILINA BENZATINICA PENICILINA SODICA PENICILINA PROCAINICA,TRIAPEN FORTE CAJA X 1 AMPOLLA,7770102001283
BAGO,7770102001375,ANTIBACTERIANO,LEVOFLOXACINA,BACTIFREN 750 MG X 5 COMPRIMIDOS,7770102001375
BAGO,7770102001382,ANTIBIOTICO,LEVOFLOXACINO 500 MG,BACTIFREN 500 MG X 7 COMPRIMIDOS,7770102001382
BAGO,7770102001399,ANTIBIOTICO,CLARITROMICINA 500 MG,ABRAMAX 500 MG CAJA X 14 COMPRIMIDOS,7770102001399
BAGO,7770102001498,ANALGESICO,PARACETAMOL TRAMADOL,METAGESIC CAJA X 30 COMPRIMIDOS,7770102001498
BAGO,7770102001702,ANALGESICO ANTIPIRETICO DESCONGESTIONANTE,IBUPROFENO PSEUDOEFEDRINA,PIRONAL FLU FORTE CAJA X 12 COMPRIMIDOS,7770102001702
BAGO,7770102001849,ANTIULCEROSO ANTIACIDO,OMEPRAZOL BICARBONATO,ULCOZOL RAPID CAJA X 30 SOBRES,7770102001849
BAGO,7770102001856,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS NARANJA CAJA X 25 SOBRES,7770102001856
BAGO,7770102001863,ANTIALERGICO,CETIRIZINA PSEUDOEFEDRINA,REMITEX D CAJA X 10 COMPRIMIDOS,7770102001863
BAGO,7770102001870,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS MIEL Y LIMON CAJA X 25 SOBRES,7770102001870
BAGO,7770102001887,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS FRAMBUESA CAJA X 25 SOBRES,7770102001887
BAGO,7770102001986,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS PLUS NARANJA X 25 SOBRES,7770102001986
BAGO,7770102001993,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS PLUS MIEL Y LIMON CAJA X 25 SOBRES,7770102001993
BAGO,7770102002006,ANALGESICO ANTIPIRETICO DESCONGESTIONANTE,IBUPROFENO PSEUDOEFEDRINA,PIRONAL FLU FORTE SUSPENCION X 100 ML,7770102002006
